ds,y
2018-01-01,1.309
2018-02-01,1.309168
2018-03-01,1.309168
2018-04-01,1.309168
2018-05-01,1.309168
2018-06-01,1.309168
2018-07-01,1.309168
2018-08-01,1.309168
2018-09-01,1.309168
2018-10-01,1.309168
2018-11-01,1.309168
2018-12-01,1.309168
2019-01-01,1.679
2019-02-01,1.679
2019-03-01,1.679
2019-04-01,1.679
2019-05-01,1.679
2019-06-01,1.679
2019-07-01,1.679
2019-08-01,1.679
2019-09-01,1.679
2019-10-01,2.162711
2019-11-01,1.679
2019-12-01,1.679
2020-01-01,1.679
2020-02-01,1.679
2020-03-01,1.679
2020-04-01,1.679
2020-05-01,1.579
2020-06-01,1.579
2020-07-01,1.579
2020-08-01,1.579
2020-09-01,1.585619
2020-10-01,1.579
2020-11-01,1.579
2020-12-01,1.579
2021-01-01,1.579
2021-02-01,1.579
2021-03-01,1.650848
2021-04-01,1.733389
2021-05-01,1.820059
2021-06-01,1.911063
2021-07-01,2.006616
2021-08-01,2.106946
2021-09-01,2.212293
2021-10-01,2.322908
2021-11-01,2.37045
2021-12-01,2.37045
2022-01-01,2.37045
2022-02-01,2.37045
2022-03-01,2.37045
2022-04-01,2.37045
2022-05-01,2.37045
2022-06-01,2.37045
2022-07-01,2.22045
2022-08-01,2.22045
2022-09-01,2.22045
2022-10-01,2.22045
2022-11-01,2.22045
2022-12-01,2.22045
2023-01-01,2.22045
2023-02-01,2.22045
2023-03-01,2.22045
2023-04-01,2.22045
2023-05-01,2.22045
2023-06-01,2.22045
2023-07-01,2.22045
2023-08-01,2.22045
2023-09-01,2.22045
2023-10-01,2.22045
2023-11-01,2.22045
2023-12-01,2.22045
2024-01-01,2.22045
2024-02-01,2.22045
2024-03-01,2.280641
2024-04-01,2.280641
2024-05-01,2.280641
2024-06-01,2.537204
2024-07-01,2.568169
2024-08-01,2.581452
2024-09-01,2.405424
2024-10-01,2.377208
2024-11-01,2.494535
2024-12-01,2.457598
2025-01-01,2.527917
2025-02-01,2.58273
2025-03-01,2.48825
2025-04-01,2.310456
2025-05-01,2.280641
2025-06-01,2.336455
2025-07-01,2.443744
2025-08-01,2.565932
2025-09-01,2.694228
2025-10-01,2.726363
2025-11-01,2.614906
2025-12-01,2.508758
2026-01-01,2.451984
2026-02-01,2.543922
2026-03-01,2.671118
